date,time,temp,Light (Lux),Humidity (%RH),During USB (55)
06/10/16,13:53:38,28.125,596.3,0,1
06/10/16,13:53:48,28,592.2,0,1
06/10/16,13:53:58,27.937,595.7,0,1
06/10/16,13:54:08,27.875,543.1,0,1
06/10/16,13:54:18,27.937,539.7,0,1
06/10/16,13:54:28,27.937,527.6,0,1
06/10/16,13:54:38,28.187,1498.9,0,1
06/10/16,13:54:48,28.687,200.1,0,0
06/10/16,13:54:58,28.687,365,0,0
06/10/16,13:55:08,28.625,205.5,0,0
06/10/16,13:55:18,28.625,122.5,0,0
06/10/16,13:55:28,28.625,3290.9,0,0
06/10/16,13:55:38,28.75,12000,0,0
06/10/16,13:55:48,28.875,10894,0,0
06/10/16,13:55:58,28.875,12000,0,0
06/10/16,13:56:08,28.875,12000,0,0
06/10/16,13:56:18,28.875,12000,0,0
06/10/16,13:56:28,28.875,12000,0,0
06/10/16,13:56:38,28.875,12000,0,0
06/10/16,13:56:48,28.812,12000,0,0
06/10/16,13:56:58,28.812,12000,0,0
06/10/16,13:57:08,28.75,12000,0,0
06/10/16,13:57:18,28.687,9144,0,0
06/10/16,13:57:28,28.687,9144,0,0
06/10/16,13:57:38,28.625,9144,0,0
06/10/16,13:57:48,28.562,9144,0,0
06/10/16,13:57:58,28.5,10894,0,0
06/10/16,13:58:08,28.5,10894,0,0
06/10/16,13:58:18,28.437,10894,0,0
06/10/16,13:58:28,28.437,10894,0,0
06/10/16,13:58:38,28.312,10894,0,0
06/10/16,13:58:48,28.312,10894,0,0
06/10/16,13:58:58,28.25,10894,0,0
06/10/16,13:59:08,28.25,10894,0,0
06/10/16,13:59:18,28.187,10894,0,0
06/10/16,13:59:28,28.187,10894,0,0
06/10/16,13:59:38,28.125,10894,0,0
06/10/16,13:59:48,28.125,10894,0,0
06/10/16,13:59:58,28.062,10894,0,0
06/10/16,14:00:08,28.062,10894,0,0
06/10/16,14:00:18,28,10894,0,0
06/10/16,14:00:28,28,10894,0,0
06/10/16,14:00:38,28,12000,0,0
06/10/16,14:00:48,27.937,12000,0,0
06/10/16,14:00:58,27.937,12000,0,0
06/10/16,14:01:08,27.937,12000,0,0
06/10/16,14:01:18,27.937,12000,0,0
06/10/16,14:01:28,27.875,12000,0,0
06/10/16,14:01:38,27.875,12000,0,0
06/10/16,14:01:48,27.875,12000,0,0
06/10/16,14:01:58,27.875,12000,0,0
06/10/16,14:02:08,27.875,12000,0,0
06/10/16,14:02:18,27.812,12000,0,0
06/10/16,14:02:28,27.812,12000,0,0
06/10/16,14:02:38,27.812,12000,0,0
06/10/16,14:02:48,27.812,12000,0,0
06/10/16,14:02:58,27.812,12000,0,0
06/10/16,14:03:08,27.812,12000,0,0
06/10/16,14:03:18,27.812,12000,0,0
06/10/16,14:03:28,27.812,12000,0,0
06/10/16,14:03:38,27.812,12000,0,0
06/10/16,14:03:48,27.812,12000,0,0
06/10/16,14:03:58,27.812,12000,0,0
06/10/16,14:04:08,27.812,12000,0,0
06/10/16,14:04:18,27.812,12000,0,0
06/10/16,14:04:28,27.812,12000,0,0
06/10/16,14:04:38,27.812,12000,0,0
